MM,elevation (ft),grade (%)
60.96,673.1717228,1.111856
60.97,673.7587828,1.111856
60.98,674.3458428,1.111856
60.99,674.9329027,1.111856
61,675.5199627,1.111856
61.01,676.1070227,1.111856
61.02,676.6940826,1.111856
61.03,677.2811426,1.111856
61.04,677.8682026,1.111856
61.05,678.4552626,1.111856
61.06,679.0423225,1.111856
61.07,679.6293825,1.111856
61.08,680.2164425,1.111856
61.09,680.8035024,1.111856
61.1,681.3905624,1.111856
61.11,681.9776224,1.111856
61.12,682.5646823,1.111856
61.13,683.1517423,1.111856
61.14,683.7388023,1.111856
61.15,684.3258623,1.111856
61.16,684.9129222,1.111856
61.17,685.4999822,1.111856
61.18,686.0870422,1.111856
61.19,686.6741021,1.111856
61.2,687.2611621,1.111856
61.21,687.8482221,1.111856
61.22,688.435282,1.111856
61.23,689.022342,1.111856
61.24,689.609402,1.111856
61.25,690.196462,1.111856
61.26,690.7835219,1.111856
61.27,691.3705819,1.111856
61.28,691.9576419,1.111856
61.29,692.5447018,1.111856
61.3,693.1317618,1.111856
61.31,693.7188218,1.111856
61.32,694.3058817,1.111856
61.33,694.8929417,1.111856
61.34,695.4800017,1.111856
61.35,696.0670617,1.111856
61.36,696.6541216,1.111856
61.37,697.2411816,1.111856
61.38,697.8282416,1.111856
61.39,698.4153015,1.111856
61.4,699.0023615,1.111856
61.41,699.5894215,1.111856
61.42,700.1764814,1.111856
61.43,700.7635414,1.111856
61.44,701.3506014,1.111856
61.45,701.9376614,1.111856
61.46,702.5247213,1.111856
61.47,703.1117813,1.111856
61.48,703.6988413,1.111856
61.49,704.2859012,1.111856
61.5,704.8729612,1.111856
61.51,705.4600212,1.111856
61.52,706.0470811,1.111856
61.53,706.6341411,1.111856
61.54,707.2212011,1.111856
61.55,707.8082611,1.111856
61.56,708.395321,1.111856
61.57,708.982381,1.111856
61.58,709.569441,1.111856
61.59,710.1565009,1.111856
61.6,710.7435609,1.111856
61.61,711.3306209,1.111856
61.62,711.9176808,1.111856
61.63,712.5047408,1.111856
61.64,713.0918008,1.111856
61.65,713.6788608,1.111856
